rootlength,Hair Root length,Sample,Genotype,Treatment
0.72,2.75,ga1-13_Mock,ga1-13,Mock
0.95,2.84,ga1-13_Mock,ga1-13,Mock
0.96,2.94,ga1-13_Mock,ga1-13,Mock
1.06,2.42,ga1-13_Mock,ga1-13,Mock
0.84,2.88,ga1-13_Mock,ga1-13,Mock
0.9,2.41,ga1-13_Mock,ga1-13,Mock
1.02,2.67,ga1-13_Mock,ga1-13,Mock
0.96,2.69,ga1-13_Mock,ga1-13,Mock
1,2.79,ga1-13_Mock,ga1-13,Mock
1.13,2.93,ga1-13_Mock,ga1-13,Mock
1.38,2.76,ga1-13_Mock,ga1-13,Mock
1.27,2.83,ga1-13_Mock,ga1-13,Mock
0.79,2.58,ga1-13_Mock,ga1-13,Mock
0.9,2.71,ga1-13_Mock,ga1-13,Mock
0.67,2.87,ga1-13_Mock,ga1-13,Mock
0.91,3.26,ga1-13_Mock,ga1-13,Mock
0.86,2.55,ga1-13_Mock,ga1-13,Mock
1.38,2.85,ga1-13_Mock,ga1-13,Mock
1.08,2.61,ga1-13_Mock,ga1-13,Mock
0.99,2.89,ga1-13_Mock,ga1-13,Mock
1.36,2.46,ga1-13_Mock,ga1-13,Mock
0.7,2.66,ga1-13_Mock,ga1-13,Mock
1.12,2.62,ga1-13_Mock,ga1-13,Mock
0.54,2.79,ga1-13_Mock,ga1-13,Mock
0.89,2.69,ga1-13_Mock,ga1-13,Mock
1.34,2.92,ga1-13_Mock,ga1-13,Mock
1.13,2.8,ga1-13_Mock,ga1-13,Mock
1.29,2.75,ga1-13_Mock,ga1-13,Mock
0.79,2.63,ga1-13_Mock,ga1-13,Mock
0.89,2.79,ga1-13_Mock,ga1-13,Mock
1.19,2.39,ga1-13_Mock,ga1-13,Mock
0.61,2.9,ga1-13_Mock,ga1-13,Mock
1.41,2.76,ga1-13_Mock,ga1-13,Mock
0.98,2.67,ga1-13_Mock,ga1-13,Mock
1.54,2.61,ga1-13_Mock,ga1-13,Mock
0.44,2.49,ga1-13_Mock,ga1-13,Mock
1.36,2.62,ga1-13_Mock,ga1-13,Mock
1.11,2.57,ga1-13_Mock,ga1-13,Mock
0.77,2.9,ga1-13_Mock,ga1-13,Mock
1.87,2.75,ga1-13_Mock,ga1-13,Mock
1.13,2.41,ga1-13_Mock,ga1-13,Mock
1.35,2.68,ga1-13_Mock,ga1-13,Mock
1.22,2.67,ga1-13_Mock,ga1-13,Mock
0.66,2.86,ga1-13_Mock,ga1-13,Mock
1.18,2.6,ga1-13_Mock,ga1-13,Mock
1.17,2.67,ga1-13_Mock,ga1-13,Mock
0.46,2.72,ga1-13_Mock,ga1-13,Mock
0.69,2.55,ga1-13_Mock,ga1-13,Mock
1.06,2.81,ga1-13_Mock,ga1-13,Mock
1.14,2.66,ga1-13_Mock,ga1-13,Mock
1.18,2.49,ga1-13_Mock,ga1-13,Mock
1.13,2.58,ga1-13_Mock,ga1-13,Mock
0.92,2.89,ga1-13_Mock,ga1-13,Mock
0.65,2.67,ga1-13_Mock,ga1-13,Mock
0.76,2.85,ga1-13_Mock,ga1-13,Mock
1.03,2.75,ga1-13_Mock,ga1-13,Mock
1.12,2.61,ga1-13_Mock,ga1-13,Mock
0.94,2.78,ga1-13_Mock,ga1-13,Mock
0.54,2.73,ga1-13_Mock,ga1-13,Mock
1.37,2.71,ga1-13_Mock,ga1-13,Mock
1.09,2.64,ga1-13_Mock,ga1-13,Mock
1.1,2.64,ga1-13_Mock,ga1-13,Mock
0.82,2.83,ga1-13_Mock,ga1-13,Mock
0.71,2.78,ga1-13_Mock,ga1-13,Mock
0.73,2.76,ga1-13_Mock,ga1-13,Mock
1.54,2.62,ga1-13_Mock,ga1-13,Mock
0.5,2.46,ga1-13_Mock,ga1-13,Mock
1.15,2.48,ga1-13_Mock,ga1-13,Mock
0.88,2.97,ga1-13_Mock,ga1-13,Mock
0.76,2.48,ga1-13_Mock,ga1-13,Mock
0.56,2.73,ga1-13_Mock,ga1-13,Mock
0.71,2.68,ga1-13_Mock,ga1-13,Mock
0.73,2.33,ga1-13_Mock,ga1-13,Mock
1.1,2.84,ga1-13_Mock,ga1-13,Mock
1.19,2.78,ga1-13_Mock,ga1-13,Mock
1.17,2.81,ga1-13_Mock,ga1-13,Mock
0.89,2.45,ga1-13_Mock,ga1-13,Mock
0.97,2.62,ga1-13_Mock,ga1-13,Mock
0.35,2.76,ga1-13_Mock,ga1-13,Mock
1.22,2.87,ga1-13_Mock,ga1-13,Mock
1.16,2.34,ga1-13_Mock,ga1-13,Mock
1.3,2.7,ga1-13_Mock,ga1-13,Mock
0.89,2.34,ga1-13_Mock,ga1-13,Mock
0.83,3.14,ga1-13_Mock,ga1-13,Mock
1.13,2.51,ga1-13_Mock,ga1-13,Mock
0.51,2.86,ga1-13_Mock,ga1-13,Mock
1.05,2.97,ga1-13_Mock,ga1-13,Mock
1.39,2.61,ga1-13_Mock,ga1-13,Mock
0.71,2.69,ga1-13_Mock,ga1-13,Mock
1.51,2.58,ga1-13_Mock,ga1-13,Mock
0.39,3.17,ga1-13_Mock,ga1-13,Mock
0.79,2.58,ga1-13_Mock,ga1-13,Mock
0.49,2.48,ga1-13_Mock,ga1-13,Mock
0.81,2.84,ga1-13_Mock,ga1-13,Mock
0.24,2.53,ga1-13_Mock,ga1-13,Mock
0.84,3.04,ga1-13_Mock,ga1-13,Mock
1.14,2.88,ga1-13_Mock,ga1-13,Mock
1.59,2.64,ga1-13_Mock,ga1-13,Mock
1.26,2.64,ga1-13_Mock,ga1-13,Mock
0.69,3.35,ga1-13_Mock,ga1-13,Mock
1.12,2.9,ga1-13_Mock,ga1-13,Mock
0.87,2.86,ga1-13_Mock,ga1-13,Mock
0.75,2.48,ga1-13_Mock,ga1-13,Mock
1.09,2.62,ga1-13_Mock,ga1-13,Mock
0.92,2.96,ga1-13_Mock,ga1-13,Mock
1.02,2.55,ga1-13_Mock,ga1-13,Mock
1.34,2.62,ga1-13_Mock,ga1-13,Mock
0.9,2.83,ga1-13_Mock,ga1-13,Mock
1.07,2.7,ga1-13_Mock,ga1-13,Mock
1.3,2.26,ga1-13_Mock,ga1-13,Mock
0.86,2.82,ga1-13_Mock,ga1-13,Mock
0.74,2.65,ga1-13_Mock,ga1-13,Mock
0.93,2.75,ga1-13_Mock,ga1-13,Mock
1.36,2.89,ga1-13_Mock,ga1-13,Mock
1.28,2.72,ga1-13_Mock,ga1-13,Mock
1.36,2.4,ga1-13_Mock,ga1-13,Mock
1.18,2.59,ga1-13_Mock,ga1-13,Mock
1.41,2.66,ga1-13_Mock,ga1-13,Mock
1.33,2.48,ga1-13_Mock,ga1-13,Mock
0.66,2.7,ga1-13_Mock,ga1-13,Mock
1.52,2.66,ga1-13_Mock,ga1-13,Mock
1.09,2.55,ga1-13_Mock,ga1-13,Mock
0.9,2.51,ga1-13_Mock,ga1-13,Mock
1.32,2.75,ga1-13_Mock,ga1-13,Mock
0.84,2.51,ga1-13_Mock,ga1-13,Mock
0.92,3.03,ga1-13_Mock,ga1-13,Mock
0.92,2.52,ga1-13_Mock,ga1-13,Mock
1.34,2.5,ga1-13_Mock,ga1-13,Mock
0.67,2.87,ga1-13_Mock,ga1-13,Mock
0.95,2.71,ga1-13_Mock,ga1-13,Mock
0.84,2.62,ga1-13_Mock,ga1-13,Mock
0.83,2.85,ga1-13_Mock,ga1-13,Mock
1.14,2.68,ga1-13_Mock,ga1-13,Mock
0.97,2.86,ga1-13_Mock,ga1-13,Mock
1.09,2.65,ga1-13_Mock,ga1-13,Mock
1.03,2.62,ga1-13_Mock,ga1-13,Mock
1.46,2.93,ga1-13_Mock,ga1-13,Mock
0.75,2.68,ga1-13_Mock,ga1-13,Mock
0.47,2.88,ga1-13_Mock,ga1-13,Mock
0.96,2.63,ga1-13_Mock,ga1-13,Mock
1.21,2.55,ga1-13_Mock,ga1-13,Mock
1.21,2.86,ga1-13_Mock,ga1-13,Mock
0.43,2.92,ga1-13_Mock,ga1-13,Mock
1.27,2.59,ga1-13_Mock,ga1-13,Mock
0.6,2.6,ga1-13_Mock,ga1-13,Mock
1.41,2.53,ga1-13_Mock,ga1-13,Mock
0.66,2.73,ga1-13_Mock,ga1-13,Mock
1.31,2.75,ga1-13_Mock,ga1-13,Mock
1.45,2.72,ga1-13_Mock,ga1-13,Mock
1.27,2.43,ga1-13_Mock,ga1-13,Mock
0.65,2.45,ga1-13_Mock,ga1-13,Mock
0.78,3.08,ga1-13_Mock,ga1-13,Mock
1.04,2.95,ga1-13_Mock,ga1-13,Mock
1.15,2.67,ga1-13_Mock,ga1-13,Mock
1.21,2.75,ga1-13_Mock,ga1-13,Mock
1.15,2.47,ga1-13_Mock,ga1-13,Mock
0.45,2.35,ga1-13_Mock,ga1-13,Mock
1.01,2.32,ga1-13_Mock,ga1-13,Mock
0.77,2.86,ga1-13_Mock,ga1-13,Mock
1.11,2.49,ga1-13_Mock,ga1-13,Mock
1.09,2.59,ga1-13_Mock,ga1-13,Mock
1.52,2.65,ga1-13_Mock,ga1-13,Mock
0.81,2.6,ga1-13_Mock,ga1-13,Mock
0.87,2.56,ga1-13_Mock,ga1-13,Mock
0.69,2.21,ga1-13_Mock,ga1-13,Mock
0.79,3.11,ga1-13_Mock,ga1-13,Mock
1.3,2.46,ga1-13_Mock,ga1-13,Mock
0.68,2.86,ga1-13_Mock,ga1-13,Mock
1.01,2.66,ga1-13_Mock,ga1-13,Mock
0.79,3,ga1-13_Mock,ga1-13,Mock
1.21,2.51,ga1-13_Mock,ga1-13,Mock
0.9,2.61,ga1-13_Mock,ga1-13,Mock
1.09,2.58,ga1-13_Mock,ga1-13,Mock
0.74,2.64,ga1-13_Mock,ga1-13,Mock
0.9,2.57,ga1-13_Mock,ga1-13,Mock
0.9,2.46,ga1-13_Mock,ga1-13,Mock
0.71,2.73,ga1-13_Mock,ga1-13,Mock
1.31,2.97,ga1-13_Mock,ga1-13,Mock
1.01,2.52,ga1-13_Mock,ga1-13,Mock
1,2.53,ga1-13_Mock,ga1-13,Mock
1.52,2.72,ga1-13_Mock,ga1-13,Mock
1.16,3.08,ga1-13_Mock,ga1-13,Mock
1.05,2.95,ga1-13_Mock,ga1-13,Mock
0.93,2.66,ga1-13_Mock,ga1-13,Mock
0.85,2.7,ga1-13_Mock,ga1-13,Mock
1.08,2.55,ga1-13_Mock,ga1-13,Mock
0.98,3.09,ga1-13_Mock,ga1-13,Mock
0.85,2.5,ga1-13_Mock,ga1-13,Mock
1.04,2.27,ga1-13_Mock,ga1-13,Mock
1.32,2.86,ga1-13_Mock,ga1-13,Mock
1.01,2.9,ga1-13_Mock,ga1-13,Mock
1.68,3.02,ga1-13_Mock,ga1-13,Mock
1.11,2.65,ga1-13_Mock,ga1-13,Mock
1.14,2.66,ga1-13_Mock,ga1-13,Mock
1.17,2.84,ga1-13_Mock,ga1-13,Mock
1.5,2.51,ga1-13_Mock,ga1-13,Mock
1.04,2.39,ga1-13_Mock,ga1-13,Mock
1.3,2.91,ga1-13_Mock,ga1-13,Mock
1.05,3.07,ga1-13_Mock,ga1-13,Mock
0.84,2.77,ga1-13_Mock,ga1-13,Mock
1.12,2.38,ga1-13_Mock,ga1-13,Mock
0.95,2.52,ga1-13_Mock,ga1-13,Mock
1.07,2.78,ga1-13_Mock,ga1-13,Mock
1.99,2.45,ga1-13_Mock,ga1-13,Mock
0.75,2.81,ga1-13_Mock,ga1-13,Mock
0.64,2.78,ga1-13_Mock,ga1-13,Mock
1,2.44,ga1-13_Mock,ga1-13,Mock
1.1,2.96,ga1-13_Mock,ga1-13,Mock
0.36,2.77,ga1-13_Mock,ga1-13,Mock
1.09,2.96,ga1-13_Mock,ga1-13,Mock
0.9,2.97,ga1-13_Mock,ga1-13,Mock
1.18,2.52,ga1-13_Mock,ga1-13,Mock
0.68,2.5,ga1-13_Mock,ga1-13,Mock
0.77,2.85,ga1-13_Mock,ga1-13,Mock
0.37,2.9,ga1-13_Mock,ga1-13,Mock
0.92,2.45,ga1-13_Mock,ga1-13,Mock
0.84,2.57,ga1-13_Mock,ga1-13,Mock
1.22,2.74,ga1-13_Mock,ga1-13,Mock
1.62,2.68,ga1-13_Mock,ga1-13,Mock
1.25,2.33,ga1-13_Mock,ga1-13,Mock
1.36,2.72,ga1-13_Mock,ga1-13,Mock
0.26,2.71,ga1-13_Mock,ga1-13,Mock
0.72,2.59,ga1-13_Mock,ga1-13,Mock
1.14,2.92,ga1-13_Mock,ga1-13,Mock
1.51,2.87,ga1-13_Mock,ga1-13,Mock
1.24,2.44,ga1-13_Mock,ga1-13,Mock
1.03,2.97,ga1-13_Mock,ga1-13,Mock
1.35,2.63,ga1-13_Mock,ga1-13,Mock
0.74,2.88,ga1-13_Mock,ga1-13,Mock
0.92,2.34,ga1-13_Mock,ga1-13,Mock
0.67,2.67,ga1-13_Mock,ga1-13,Mock
1.05,2.62,ga1-13_Mock,ga1-13,Mock
1.22,2.98,ga1-13_Mock,ga1-13,Mock
0.53,2.55,ga1-13_Mock,ga1-13,Mock
1.1,2.3,ga1-13_Mock,ga1-13,Mock
0.78,2.62,ga1-13_Mock,ga1-13,Mock
1.33,2.7,ga1-13_Mock,ga1-13,Mock
1.35,2.74,ga1-13_Mock,ga1-13,Mock
0.98,2.39,ga1-13_Mock,ga1-13,Mock
1.01,2.8,ga1-13_Mock,ga1-13,Mock
1.07,2.78,ga1-13_Mock,ga1-13,Mock
1.19,2.63,ga1-13_Mock,ga1-13,Mock
0.97,2.59,ga1-13_Mock,ga1-13,Mock
0.53,2.47,ga1-13_Mock,ga1-13,Mock
1.05,2.85,ga1-13_Mock,ga1-13,Mock
0.35,2.6,ga1-13_Mock,ga1-13,Mock
1.24,2.72,ga1-13_Mock,ga1-13,Mock
0.65,2.92,ga1-13_Mock,ga1-13,Mock
0.8,2.52,ga1-13_Mock,ga1-13,Mock
0.7,2.59,ga1-13_Mock,ga1-13,Mock
1.39,2.8,ga1-13_Mock,ga1-13,Mock
1.13,2.53,ga1-13_Mock,ga1-13,Mock
0.77,2.82,ga1-13_Mock,ga1-13,Mock
0.87,2.75,ga1-13_Mock,ga1-13,Mock
0.98,2.75,ga1-13_Mock,ga1-13,Mock
0.84,2.76,ga1-13_Mock,ga1-13,Mock
0.7,2.4,ga1-13_Mock,ga1-13,Mock
1.31,2.84,ga1-13_Mock,ga1-13,Mock
1.32,2.43,ga1-13_Mock,ga1-13,Mock
0.79,2.74,ga1-13_Mock,ga1-13,Mock
1.33,2.57,ga1-13_Mock,ga1-13,Mock
0.77,2.64,ga1-13_Mock,ga1-13,Mock
1.12,2.78,ga1-13_Mock,ga1-13,Mock
0.43,2.61,ga1-13_Mock,ga1-13,Mock
1.03,2.36,ga1-13_Mock,ga1-13,Mock
0.67,2.89,ga1-13_Mock,ga1-13,Mock
0.91,2.67,ga1-13_Mock,ga1-13,Mock
1.39,2.64,ga1-13_Mock,ga1-13,Mock
1.34,2.99,ga1-13_Mock,ga1-13,Mock
1.07,3.05,ga1-13_Mock,ga1-13,Mock
0.52,2.93,ga1-13_Mock,ga1-13,Mock
1.16,2.98,ga1-13_Mock,ga1-13,Mock
0.68,2.88,ga1-13_Mock,ga1-13,Mock
0.53,2.78,ga1-13_Mock,ga1-13,Mock
0.67,2.96,ga1-13_Mock,ga1-13,Mock
1.14,2.57,ga1-13_Mock,ga1-13,Mock
1.36,2.76,ga1-13_Mock,ga1-13,Mock
0.76,2.69,ga1-13_Mock,ga1-13,Mock
0.93,2.91,ga1-13_Mock,ga1-13,Mock
0.9,2.92,ga1-13_Mock,ga1-13,Mock
0.64,2.87,ga1-13_Mock,ga1-13,Mock
0.72,2.57,ga1-13_Mock,ga1-13,Mock
0.9,2.97,ga1-13_Mock,ga1-13,Mock
1.4,2.73,ga1-13_Mock,ga1-13,Mock
1.03,2.78,ga1-13_Mock,ga1-13,Mock
0.88,2.55,ga1-13_Mock,ga1-13,Mock
0.84,3.04,ga1-13_Mock,ga1-13,Mock
1.43,2.91,ga1-13_Mock,ga1-13,Mock
1.11,2.56,ga1-13_Mock,ga1-13,Mock
0.53,2.41,ga1-13_Mock,ga1-13,Mock
1.11,2.49,ga1-13_Mock,ga1-13,Mock
0.97,2.72,ga1-13_Mock,ga1-13,Mock
1.06,2.34,ga1-13_Mock,ga1-13,Mock
1.21,2.49,ga1-13_Mock,ga1-13,Mock
0.8,2.61,ga1-13_Mock,ga1-13,Mock
1.15,2.73,ga1-13_Mock,ga1-13,Mock
1.14,2.4,ga1-13_Mock,ga1-13,Mock
1,2.97,ga1-13_Mock,ga1-13,Mock
0.94,2.59,ga1-13_Mock,ga1-13,Mock
1.2,2.73,ga1-13_Mock,ga1-13,Mock
1.07,2.53,ga1-13_Mock,ga1-13,Mock
0.96,3.09,ga1-13_Mock,ga1-13,Mock
1.17,2.74,ga1-13_Mock,ga1-13,Mock
0.97,3.01,ga1-13_Mock,ga1-13,Mock
1.23,2.58,ga1-13_Mock,ga1-13,Mock
1.07,2.71,ga1-13_Mock,ga1-13,Mock
1.04,2.79,ga1-13_Mock,ga1-13,Mock
0.72,2.63,ga1-13_Mock,ga1-13,Mock
1.27,2.62,ga1-13_Mock,ga1-13,Mock
1.17,2.95,ga1-13_Mock,ga1-13,Mock
0.47,2.9,ga1-13_Mock,ga1-13,Mock
1.01,2.81,ga1-13_Mock,ga1-13,Mock
0.93,2.66,ga1-13_Mock,ga1-13,Mock
0.84,2.75,ga1-13_Mock,ga1-13,Mock
0.81,2.6,ga1-13_Mock,ga1-13,Mock
1.02,2.99,ga1-13_Mock,ga1-13,Mock
0.68,2.8,ga1-13_Mock,ga1-13,Mock
1.07,2.41,ga1-13_Mock,ga1-13,Mock
0.72,2.82,ga1-13_Mock,ga1-13,Mock
1.06,3.12,ga1-13_Mock,ga1-13,Mock
0.99,2.67,ga1-13_Mock,ga1-13,Mock
0.86,2.39,ga1-13_Mock,ga1-13,Mock
0.63,2.63,ga1-13_Mock,ga1-13,Mock
0.82,2.69,ga1-13_Mock,ga1-13,Mock
1.16,2.73,ga1-13_Mock,ga1-13,Mock
1.29,2.85,ga1-13_Mock,ga1-13,Mock
0.89,2.73,ga1-13_Mock,ga1-13,Mock
0.83,2.74,ga1-13_Mock,ga1-13,Mock
0.94,2.34,ga1-13_Mock,ga1-13,Mock
0.73,2.66,ga1-13_Mock,ga1-13,Mock
1.2,2.83,ga1-13_Mock,ga1-13,Mock
0.92,3.03,ga1-13_Mock,ga1-13,Mock
0.72,2.56,ga1-13_Mock,ga1-13,Mock
0.31,2.29,ga1-13_Mock,ga1-13,Mock
0.59,2.65,ga1-13_Mock,ga1-13,Mock
0.98,2.79,ga1-13_Mock,ga1-13,Mock
1.13,2.89,ga1-13_Mock,ga1-13,Mock
1.12,2.82,ga1-13_Mock,ga1-13,Mock
0.7,2.21,ga1-13_Mock,ga1-13,Mock
0.62,2.87,ga1-13_Mock,ga1-13,Mock
1.3,2.49,ga1-13_Mock,ga1-13,Mock
1.02,2.82,ga1-13_Mock,ga1-13,Mock
1.46,2.95,ga1-13_Mock,ga1-13,Mock
0.61,2.92,ga1-13_Mock,ga1-13,Mock
1.22,2.45,ga1-13_Mock,ga1-13,Mock
0.79,2.87,ga1-13_Mock,ga1-13,Mock
1.21,2.75,ga1-13_Mock,ga1-13,Mock
1.43,2.78,ga1-13_Mock,ga1-13,Mock
1.34,2.74,ga1-13_Mock,ga1-13,Mock
0.96,2.91,ga1-13_Mock,ga1-13,Mock
1.39,2.58,ga1-13_Mock,ga1-13,Mock
0.66,2.76,ga1-13_Mock,ga1-13,Mock
0.9,2.64,ga1-13_Mock,ga1-13,Mock
0.88,2.84,ga1-13_Mock,ga1-13,Mock
0.76,2.53,ga1-13_Mock,ga1-13,Mock
1.24,2.6,ga1-13_Mock,ga1-13,Mock
0.86,2.4,ga1-13_Mock,ga1-13,Mock
0.85,2.86,ga1-13_Mock,ga1-13,Mock
0.71,2.77,ga1-13_Mock,ga1-13,Mock
0.63,2.62,ga1-13_Mock,ga1-13,Mock
0.4,2.8,ga1-13_Mock,ga1-13,Mock
1.06,2.81,ga1-13_Mock,ga1-13,Mock
0.82,2.67,ga1-13_Mock,ga1-13,Mock
0.79,2.73,ga1-13_Mock,ga1-13,Mock
0.64,2.7,ga1-13_Mock,ga1-13,Mock
0.98,2.99,ga1-13_Mock,ga1-13,Mock
0.89,2.5,ga1-13_Mock,ga1-13,Mock
0.55,2.8,ga1-13_Mock,ga1-13,Mock
1.22,2.75,ga1-13_Mock,ga1-13,Mock
0.47,2.37,ga1-13_Mock,ga1-13,Mock
1.35,2.81,ga1-13_Mock,ga1-13,Mock
0.62,2.85,ga1-13_Mock,ga1-13,Mock
1.19,2.86,ga1-13_Mock,ga1-13,Mock
0.55,2.78,ga1-13_Mock,ga1-13,Mock
0.96,3.03,ga1-13_Mock,ga1-13,Mock
0.55,2.83,ga1-13_Mock,ga1-13,Mock
1.42,2.66,ga1-13_Mock,ga1-13,Mock
1.21,2.72,ga1-13_Mock,ga1-13,Mock
1.13,2.71,ga1-13_Mock,ga1-13,Mock
0.68,2.48,ga1-13_Mock,ga1-13,Mock
0.78,2.68,ga1-13_Mock,ga1-13,Mock
0.86,2.73,ga1-13_Mock,ga1-13,Mock
0.91,2.63,ga1-13_Mock,ga1-13,Mock
1.08,2.42,ga1-13_Mock,ga1-13,Mock
1.62,2.95,ga1-13_Mock,ga1-13,Mock
0.92,2.81,ga1-13_Mock,ga1-13,Mock
1.05,2.85,ga1-13_Mock,ga1-13,Mock
0.91,2.69,ga1-13_Mock,ga1-13,Mock
1.23,2.52,ga1-13_Mock,ga1-13,Mock
0.75,2.5,ga1-13_Mock,ga1-13,Mock
1,2.91,ga1-13_Mock,ga1-13,Mock
1.17,2.81,ga1-13_Mock,ga1-13,Mock
1.18,2.45,ga1-13_Mock,ga1-13,Mock
0.79,2.62,ga1-13_Mock,ga1-13,Mock
1,2.96,ga1-13_Mock,ga1-13,Mock
0.67,2.75,ga1-13_Mock,ga1-13,Mock
0.7,2.54,ga1-13_Mock,ga1-13,Mock
1.35,2.86,ga1-13_Mock,ga1-13,Mock
1,2.56,ga1-13_Mock,ga1-13,Mock
0.73,2.65,ga1-13_Mock,ga1-13,Mock
1.1,2.41,ga1-13_Mock,ga1-13,Mock
0.85,2.68,ga1-13_Mock,ga1-13,Mock
1.19,2.8,ga1-13_Mock,ga1-13,Mock
1.11,2.68,ga1-13_Mock,ga1-13,Mock
0.9,2.81,ga1-13_Mock,ga1-13,Mock
0.71,2.63,ga1-13_Mock,ga1-13,Mock
1.21,2.96,ga1-13_Mock,ga1-13,Mock
1.24,2.66,ga1-13_Mock,ga1-13,Mock
1.03,2.48,ga1-13_Mock,ga1-13,Mock
1.45,2.79,ga1-13_Mock,ga1-13,Mock
1.21,2.73,ga1-13_Mock,ga1-13,Mock
0.79,2.66,ga1-13_Mock,ga1-13,Mock
0.76,2.92,ga1-13_Mock,ga1-13,Mock
1.01,2.66,ga1-13_Mock,ga1-13,Mock
0.2,2.64,ga1-13_Mock,ga1-13,Mock
0.68,2.9,ga1-13_Mock,ga1-13,Mock
1.33,2.94,ga1-13_Mock,ga1-13,Mock
1.27,2.88,ga1-13_Mock,ga1-13,Mock
1.11,2.44,ga1-13_Mock,ga1-13,Mock
1.26,2.53,ga1-13_Mock,ga1-13,Mock
0.78,2.92,ga1-13_Mock,ga1-13,Mock
0.79,2.19,ga1-13_Mock,ga1-13,Mock
0.72,2.73,ga1-13_Mock,ga1-13,Mock
1.32,2.87,ga1-13_Mock,ga1-13,Mock
1.09,3.02,ga1-13_Mock,ga1-13,Mock
0.79,3.08,ga1-13_Mock,ga1-13,Mock
1.07,2.54,ga1-13_Mock,ga1-13,Mock
1.15,2.74,ga1-13_Mock,ga1-13,Mock
1.52,2.93,ga1-13_Mock,ga1-13,Mock
0.86,2.64,ga1-13_Mock,ga1-13,Mock
0.36,3.04,ga1-13_Mock,ga1-13,Mock
0.47,2.4,ga1-13_Mock,ga1-13,Mock
0.9,2.62,ga1-13_Mock,ga1-13,Mock
0.77,2.81,ga1-13_Mock,ga1-13,Mock
0.15,2.61,ga1-13_Mock,ga1-13,Mock
1.37,2.85,ga1-13_Mock,ga1-13,Mock
1.05,2.79,ga1-13_Mock,ga1-13,Mock
0.56,2.97,ga1-13_Mock,ga1-13,Mock
1.66,2.63,ga1-13_Mock,ga1-13,Mock
0.39,2.59,ga1-13_Mock,ga1-13,Mock
1.07,2.7,ga1-13_Mock,ga1-13,Mock
0.72,2.57,ga1-13_Mock,ga1-13,Mock
1.35,2.86,ga1-13_Mock,ga1-13,Mock
0.94,2.93,ga1-13_Mock,ga1-13,Mock
0.79,2.57,ga1-13_Mock,ga1-13,Mock
1.22,2.59,ga1-13_Mock,ga1-13,Mock
0.72,2.6,ga1-13_Mock,ga1-13,Mock
1.51,2.6,ga1-13_Mock,ga1-13,Mock
0.99,2.36,ga1-13_Mock,ga1-13,Mock
1.26,2.62,ga1-13_Mock,ga1-13,Mock
0.72,2.49,ga1-13_Mock,ga1-13,Mock
0.6,2.92,ga1-13_Mock,ga1-13,Mock
0.53,2.48,ga1-13_Mock,ga1-13,Mock
1.1,2.77,ga1-13_Mock,ga1-13,Mock
0.52,2.88,ga1-13_Mock,ga1-13,Mock
0.85,2.82,ga1-13_Mock,ga1-13,Mock
1.33,2.49,ga1-13_Mock,ga1-13,Mock
0.6,2.76,ga1-13_Mock,ga1-13,Mock
0.54,2.9,ga1-13_Mock,ga1-13,Mock
0.85,2.56,ga1-13_Mock,ga1-13,Mock
0.72,2.69,ga1-13_Mock,ga1-13,Mock
0.82,2.57,ga1-13_Mock,ga1-13,Mock
1.2,3.13,ga1-13_Mock,ga1-13,Mock
0.45,2.56,ga1-13_Mock,ga1-13,Mock
1.2,2.47,ga1-13_Mock,ga1-13,Mock
0.81,2.78,ga1-13_Mock,ga1-13,Mock
5.66,0.53,dP_Mock,dP,Mock
6.36,0.74,dP_Mock,dP,Mock
7.46,1.21,dP_Mock,dP,Mock
6.17,0.85,dP_Mock,dP,Mock
5.94,1.23,dP_Mock,dP,Mock
4.85,1.04,dP_Mock,dP,Mock
6.71,1.31,dP_Mock,dP,Mock
5.98,0.58,dP_Mock,dP,Mock
5.6,0.96,dP_Mock,dP,Mock
5.51,0.93,dP_Mock,dP,Mock
5.09,1.02,dP_Mock,dP,Mock
5.76,1.05,dP_Mock,dP,Mock
6.49,1.06,dP_Mock,dP,Mock
6.65,1.08,dP_Mock,dP,Mock
5.36,0.51,dP_Mock,dP,Mock
5.94,1,dP_Mock,dP,Mock
7.01,0.86,dP_Mock,dP,Mock
6.05,0.6,dP_Mock,dP,Mock
6.17,1.02,dP_Mock,dP,Mock
6.05,1.21,dP_Mock,dP,Mock
6.34,0.8,dP_Mock,dP,Mock
6.87,0.72,dP_Mock,dP,Mock
8.71,0.86,dP_Mock,dP,Mock
6.13,0.74,dP_Mock,dP,Mock
5.06,0.97,dP_Mock,dP,Mock
5.4,1,dP_Mock,dP,Mock
6.54,0.66,dP_Mock,dP,Mock
4.93,0.93,dP_Mock,dP,Mock
6.5,0.82,dP_Mock,dP,Mock
5.42,1,dP_Mock,dP,Mock
5.76,0.78,dP_Mock,dP,Mock
5.95,0.85,dP_Mock,dP,Mock
4.92,1.55,dP_Mock,dP,Mock
6.15,0.6,dP_Mock,dP,Mock
7.58,1.12,dP_Mock,dP,Mock
6.8,0.76,dP_Mock,dP,Mock
6.3,0.83,dP_Mock,dP,Mock
5.64,0.81,dP_Mock,dP,Mock
5.15,0.95,dP_Mock,dP,Mock
6.71,1.15,dP_Mock,dP,Mock
6.58,0.94,dP_Mock,dP,Mock
5.6,0.92,dP_Mock,dP,Mock
6.41,0.89,dP_Mock,dP,Mock
