ID	21C Mock 0H	21C Mock 2H	21C GA 2H	4C Mock 2H	4C GA 2H
Gene398	8.790165377	8.820921538	8.639817757	8.787123042	8.902010408
Gene399	8.790231956	8.983970729	9.181866918	9.098560824	8.912001559
Gene400	8.794423991	8.50278561	8.614426052	8.431748753	8.628168366
Gene401	8.795279687	8.874485834	8.84737036	9.095289028	8.923335551
Gene402	8.800011696	8.893710005	8.939031408	9.095327372	8.850864994
Gene403	8.800837582	9.140854682	9.138351462	8.536195278	8.763594894
Gene404	8.803495119	8.869409648	8.861184897	8.92202459	8.806858189
Gene405	8.807307858	9.520676351	8.944072722	10.00656529	10.34421048
Gene406	8.810234091	8.731099623	8.804488004	8.856898655	8.541396599
Gene407	8.811787106	8.847224131	8.892880519	8.851334847	8.536796419
Gene408	8.8186254	8.780647244	8.116267024	8.502879293	8.914856567
Gene409	8.833922098	8.618378338	8.615933693	8.442747405	8.6660835
Gene410	8.835527737	9.203138152	9.5251363	8.923957417	8.880373782
Gene411	8.835871709	9.133370713	9.17987377	9.005387693	8.820231996
Gene412	8.846598542	9.174730888	9.149844352	9.635667931	9.490036193
Gene413	8.853625164	8.341445099	8.073167428	8.083355713	8.275320293
Gene414	8.861807336	8.916594769	8.663202574	8.780495627	8.910898404
Gene415	8.863186527	8.865240369	8.623692385	9.41366404	9.801661422
Gene416	8.866609666	9.016146847	8.808474473	9.460980916	9.763322268
Gene417	8.872969703	9.069647503	9.119912008	9.172214326	8.891980496
Gene418	8.873113104	8.875795673	8.76252588	8.816435809	9.011075561
Gene419	8.887969546	8.936748342	8.934826983	9.173372594	8.820616334
Gene420	8.890286099	9.628553692	9.726806518	10.20765522	11.01987211
Gene421	8.9058624	9.239369047	9.07953764	9.00782324	9.353879181
Gene422	8.911442948	8.784106217	8.989364079	9.213595339	8.861614652
Gene423	8.913102211	8.947617224	8.777064828	8.941310667	9.045448023
Gene424	8.932198324	9.062583268	9.034758395	8.857532956	9.055689671
Gene425	8.941129833	8.837996267	8.929730693	9.142950018	8.916265184
Gene426	8.943727882	9.091501602	8.652434642	8.868121881	9.05795616
Gene427	8.962340291	9.204161634	9.135044813	8.993569851	9.211969392
Gene428	8.979354163	9.024899025	9.178686653	10.20739144	9.081927577
Gene429	8.979470016	9.030457498	8.773981715	8.418439563	8.337129234
Gene430	8.989303312	8.943969703	9.090178134	9.115498811	8.973041626
Gene431	8.99807108	8.732881692	8.818371431	9.002166388	8.765861524
Gene432	8.999248614	8.864907709	8.969013753	9.330583699	9.0014554
Gene433	8.999590787	9.073709606	9.160052547	9.236481096	9.02951135
Gene434	9.008384442	9.423008583	9.27807541	9.058684151	9.310620063
Gene435	9.014003716	8.790010748	8.487131618	9.081526063	8.918851375
Gene436	9.017646713	8.818285297	8.327644778	9.600490226	9.912721746
Gene437	9.022620074	9.087665964	9.146370909	9.274205085	8.917321937
Gene438	9.026549834	8.938300616	9.053253841	9.267718983	9.063316232
Gene439	9.028522334	8.203677085	7.960622963	8.400154737	8.557518602
Gene440	9.029276557	9.127077379	9.374391843	9.555096488	9.127601194
Gene441	9.041793101	9.19531166	9.221964779	9.117173015	9.473607752
Gene442	9.044683815	8.496006915	8.428143059	9.958072983	10.44924928
Gene443	9.046830952	8.99742551	8.590034906	9.107285157	9.364290879
Gene444	9.051088694	8.966472241	9.040503684	9.52716254	9.48610162
Gene445	9.056582742	9.146381486	8.99996009	9.133590219	9.333601207
Gene446	9.059427124	8.656518677	8.57887135	8.809392607	9.033023002
Gene447	9.062407515	8.795817964	8.150525581	7.934066018	8.424870997
Gene448	9.070485403	9.21562028	9.438733275	9.4712805	9.088947949
Gene449	9.075444361	8.817180849	8.844935381	8.899532554	9.052900357
Gene450	9.10647689	8.931093611	8.798112556	9.105746084	9.046871544
Gene451	9.120047857	8.882422107	8.657335244	8.591090923	8.756160065
Gene452	9.122804363	9.288545944	9.235122813	9.233239255	9.137305799
Gene453	9.123264771	9.193418159	9.2263793	9.13512733	8.894205277
Gene454	9.1261374	9.223667989	9.240974704	9.350661408	9.172887724
Gene455	9.130486295	8.773806293	9.15080045	8.96572154	8.749796573
Gene456	9.146183118	9.282050379	9.360184976	9.178038049	9.192276997
Gene457	9.149120706	9.3517871	9.343540307	9.43004935	9.241585387
Gene458	9.159909336	9.182678014	9.183118254	9.306806271	9.112263204
Gene459	9.161592553	8.787533821	8.610131134	9.035058395	8.94492524
Gene460	9.175059411	9.144902995	9.223990531	9.338181638	9.102368739
Gene461	9.175642458	9.069960328	9.236383784	9.430803255	9.14185125
Gene462	9.178342425	9.25761708	9.308917359	9.250964672	9.087977391
Gene463	9.180878849	9.230882171	9.428715758	9.456927448	9.12734207
Gene464	9.194873858	9.237739623	9.246196229	9.427675921	9.176252781
Gene465	9.215687419	9.380907031	9.575683986	9.63183789	9.23099555
Gene466	9.215846765	9.589110236	9.748777041	9.390318889	9.2848482
Gene467	9.226846473	9.530202375	9.36207129	9.152250464	9.056150705
Gene468	9.228248252	9.304990821	9.410797437	9.571403644	9.310163071
Gene469	9.230920784	9.377018032	9.332382468	9.317490169	9.098266179
Gene470	9.236191954	9.281456572	9.433752379	9.401245416	9.239422697
Gene471	9.240182814	9.137431849	9.101661025	9.358791542	9.134654626
Gene472	9.260677797	9.234597478	9.288457813	9.519599687	9.256328078
Gene473	9.261317213	9.662935064	9.819181626	9.702252841	9.350037301
Gene474	9.262072465	9.494173458	9.299763291	9.144750809	9.442562382
Gene475	9.2643454	9.17301684	9.338847795	9.567137824	9.335501072
Gene476	9.266273676	9.422320842	9.338817656	9.379950348	9.55642214
Gene477	9.273740674	9.309460499	9.515853978	9.58053345	9.186179075
Gene478	9.273989585	9.039021449	8.886035766	9.111065233	9.229103251
Gene479	9.274462801	9.372978966	9.168301503	9.28587409	9.320068561
Gene480	9.278733158	9.700823843	9.377761814	9.615948145	10.03737047
Gene481	9.280467338	8.694818728	8.4429548	9.655924565	9.97246639
Gene482	9.287236016	8.978746473	8.971667443	9.078969092	9.245977711
Gene483	9.294113914	9.232720453	9.484478133	9.709925933	9.386550727
Gene484	9.299064025	9.442604312	9.475280069	9.540451857	9.3428997
Gene485	9.299694186	9.246776119	8.755967298	10.03897514	10.37509426
Gene486	9.300671745	9.037264427	8.934557335	8.92055353	9.12938528
Gene487	9.309846273	9.14324477	9.964666528	9.768224255	9.64515623
Gene488	9.316938899	9.459423426	9.171149354	9.177480263	9.277254458
Gene489	9.318051511	9.290910238	8.847977673	8.724681477	9.164412041
Gene490	9.319371085	9.130773156	8.709947523	10.01715569	10.4254976
Gene491	9.322717252	8.927900889	8.676088724	9.274207792	9.587061136
Gene492	9.324556112	9.141149448	9.039229499	9.16472537	9.392898056
Gene493	9.324619134	9.53730937	8.854063597	9.083583102	9.65438925
Gene494	9.329570804	9.333179632	9.397018394	9.663176282	9.331493093
Gene495	9.346212121	9.161680345	9.210708468	9.344285757	9.51745375
Gene496	9.34746005	9.36755962	9.315798355	9.592082145	9.427077578
Gene497	9.348135073	9.900994649	9.550058777	9.655431028	10.00252899
Gene498	9.350202535	9.300815548	9.387033082	9.631476131	9.194237385
Gene499	9.262072465	9.494173458	9.299763291	9.144750809	9.442562382
Gene500	9.2643454	9.17301684	9.338847795	9.567137824	9.335501072
